GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
biblioteca,br.edu.ifsp.biblioteca.strategy,AlunoEmprestimoStrategy,69,0,20,0,16,0,15,0,5,0
biblioteca,br.edu.ifsp.biblioteca.strategy,EmprestimoStrategyResolver,39,0,2,0,12,0,5,0,4,0
biblioteca,br.edu.ifsp.biblioteca.strategy,ProfessorEmprestimoStrategy,27,0,6,0,7,0,7,0,4,0
biblioteca,br.edu.ifsp.biblioteca.handler,NomeHandler,36,0,6,0,11,0,5,0,2,0
biblioteca,br.edu.ifsp.biblioteca.handler,SequenceCpfHandler,127,0,14,0,31,0,9,0,2,0
biblioteca,br.edu.ifsp.biblioteca.handler,EmailHandler,28,0,4,0,8,0,4,0,2,0
biblioteca,br.edu.ifsp.biblioteca.handler,UsuarioHandler,46,0,12,0,9,0,8,0,2,0
biblioteca,br.edu.ifsp.biblioteca.handler,CpfHandler,48,0,10,0,13,0,7,0,2,0
biblioteca,br.edu.ifsp.biblioteca.handler,BaseHandler,15,0,2,0,6,0,4,0,3,0
biblioteca,br.edu.ifsp.biblioteca.handler,ExemplarHandler,36,0,6,0,11,0,5,0,2,0
biblioteca,br.edu.ifsp.biblioteca.handler,IsbnHandler,36,0,6,0,11,0,5,0,2,0
biblioteca,br.edu.ifsp.biblioteca.handler,LivroHandler,68,0,18,0,13,0,11,0,2,0
biblioteca,br.edu.ifsp.biblioteca,BibliotecaApplication,8,0,0,0,3,0,2,0,2,0
biblioteca,br.edu.ifsp.biblioteca.model,Estoque,34,0,0,0,14,0,9,0,9,0
biblioteca,br.edu.ifsp.biblioteca.model,CategoriaUsuario,9,18,0,0,4,7,2,4,2,4
biblioteca,br.edu.ifsp.biblioteca.model,Curso,14,3,0,0,6,1,4,1,4,1
biblioteca,br.edu.ifsp.biblioteca.model,Livro,66,0,0,0,28,0,14,0,14,0
biblioteca,br.edu.ifsp.biblioteca.model,Emprestimo,70,0,0,0,29,0,16,0,16,0
biblioteca,br.edu.ifsp.biblioteca.model,Usuario,0,55,0,0,0,23,0,15,0,15
biblioteca,br.edu.ifsp.biblioteca.model,CategoriaLivro,27,0,0,0,11,0,6,0,6,0
biblioteca,br.edu.ifsp.biblioteca.model,Emprestimo.StatusEmprestimo,44,0,0,0,5,0,1,0,1,0
biblioteca,br.edu.ifsp.biblioteca.model,Usuario.StatusUsuario,0,34,0,0,0,4,0,1,0,1
biblioteca,br.edu.ifsp.biblioteca.service,EstoqueService,138,0,4,0,28,0,13,0,11,0
biblioteca,br.edu.ifsp.biblioteca.service,CategoriaUsuarioService,0,56,0,2,0,9,0,8,0,7
biblioteca,br.edu.ifsp.biblioteca.service,CursoService,114,0,6,0,26,0,10,0,7,0
biblioteca,br.edu.ifsp.biblioteca.service,EmprestimoService,228,0,14,0,53,0,14,0,7,0
biblioteca,br.edu.ifsp.biblioteca.service,CategoriaLivroService,56,0,2,0,9,0,8,0,7,0
biblioteca,br.edu.ifsp.biblioteca.service,UsuarioService,0,266,1,15,0,56,1,19,0,12
biblioteca,br.edu.ifsp.biblioteca.service,LivroService,169,0,8,0,36,0,11,0,7,0
biblioteca,br.edu.ifsp.biblioteca.builder,EmprestimoValidationChainBuilder,26,0,0,0,9,0,2,0,2,0
biblioteca,br.edu.ifsp.biblioteca.builder,EstoqueValidationChainBuilder,18,0,0,0,5,0,2,0,2,0
biblioteca,br.edu.ifsp.biblioteca.builder,LivroValidationChainBuilder,24,0,0,0,6,0,4,0,4,0
biblioteca,br.edu.ifsp.biblioteca.builder,CursoValidationChainBuilder,10,0,0,0,2,0,3,0,3,0
biblioteca,br.edu.ifsp.biblioteca.builder,UsuarioValidationChainBuilder,60,0,0,0,15,0,5,0,5,0
biblioteca,br.edu.ifsp.biblioteca.controller,UsuarioController,0,53,0,0,0,12,0,6,0,6
biblioteca,br.edu.ifsp.biblioteca.controller,CategoriaLivroController,73,0,0,0,15,0,5,0,5,0
biblioteca,br.edu.ifsp.biblioteca.controller,CategoriaUsuarioController,0,74,0,0,0,19,0,5,0,5
biblioteca,br.edu.ifsp.biblioteca.controller,LivroController,49,0,0,0,11,0,6,0,6,0
biblioteca,br.edu.ifsp.biblioteca.controller,EmprestimoController,33,0,0,0,8,0,4,0,4,0
biblioteca,br.edu.ifsp.biblioteca.controller,EstoqueController,45,0,0,0,11,0,6,0,6,0
biblioteca,br.edu.ifsp.biblioteca.controller,CategoriaUsuarioController.CategoriaTipo,0,24,0,0,0,3,0,1,0,1
biblioteca,br.edu.ifsp.biblioteca.controller,CursoController,51,0,0,0,11,0,6,0,6,0
biblioteca,br.edu.ifsp.biblioteca.config,SecurityConfig,64,0,0,0,14,0,6,0,6,0
biblioteca,br.edu.ifsp.biblioteca.dto,CursoDto,17,0,0,0,8,0,4,0,4,0
biblioteca,br.edu.ifsp.biblioteca.dto,UsuarioCreateDto,12,17,0,0,4,8,1,5,1,5
biblioteca,br.edu.ifsp.biblioteca.dto,EstoqueCreateDto,17,0,0,0,7,0,4,0,4,0
biblioteca,br.edu.ifsp.biblioteca.dto,LivroCreateDto,27,0,0,0,10,0,5,0,5,0
biblioteca,br.edu.ifsp.biblioteca.dto,CategoriaUsuarioDto,11,15,0,0,6,6,3,3,3,3
biblioteca,br.edu.ifsp.biblioteca.dto,EmprestimoCreateDto,23,0,0,0,10,0,5,0,5,0
biblioteca,br.edu.ifsp.biblioteca.dto,UsuarioResponseDto,39,0,0,0,16,0,8,0,8,0
biblioteca,br.edu.ifsp.biblioteca.dto,LivroBaseDto,46,0,0,0,19,0,10,0,10,0
biblioteca,br.edu.ifsp.biblioteca.dto,CursoCreateDto,16,0,0,0,7,0,4,0,4,0
biblioteca,br.edu.ifsp.biblioteca.dto,EstoqueResponseDto,43,0,0,0,16,0,8,0,8,0
biblioteca,br.edu.ifsp.biblioteca.dto,LivroResponseDto,30,0,0,0,11,0,6,0,6,0
biblioteca,br.edu.ifsp.biblioteca.dto,LivroUpdateDto,17,0,0,0,6,0,3,0,3,0
biblioteca,br.edu.ifsp.biblioteca.dto,CategoriaLivroDto,26,0,0,0,12,0,6,0,6,0
biblioteca,br.edu.ifsp.biblioteca.dto,EmprestimoDto,76,0,0,0,32,0,16,0,16,0
biblioteca,br.edu.ifsp.biblioteca.dto,EstoqueBaseDto,16,0,0,0,7,0,4,0,4,0
biblioteca,br.edu.ifsp.biblioteca.dto,EstoqueDisponibilidadeDto,13,0,0,0,6,0,3,0,3,0
biblioteca,br.edu.ifsp.biblioteca.dto,UsuarioBaseDto,12,24,0,0,5,10,1,7,1,7
